Name;Gender;Email;Methodologies;Topics;2016;2017;2018;2019
Silas Knapp;M;sk@fakemail.com;Molecular Dynamics, NMR, Numerical Algorithms, Python;Virtual Reality, Protein, DNA, Methods Development;No; Yes; No; No
Rosana Corman;F;rc@fakemail.com;HPC, Molecular Dynamics, Quantum Mechanics, Python;Security, Viruses, Protein, DNA;Yes; Yes; No; Yes
Andreas Bento;M;ab@fakemail.com;HPC, Python, Statistical Mechanics, Molecular Dynamics;Carbohydrates, Virtual Reality, DNA, Security;Yes; Yes; No; No
Doreatha Kimrey;F;dk@fakemail.com;Mathematics, Statistical Mechanics, Force Fields, Numerical Algorithms;Security, Protein, Virtual Reality, Methods Development;Yes; No; Yes; Yes
Kim Sotta;M;ks@fakemail.com;Numerical Algorithms, Statistics, Mathematics, Statistical Mechanics;Carbohydrates, Viruses, Virtual Reality, Methods Development;Yes; No; Yes; Yes
Douglass Schaber;M;ds@fakemail.com;Molecular Dynamics, Basis Sets, NMR, Statistical Mechanics;Carbohydrates, Methods Development, DNA, Security;Yes; Yes; Yes; Yes
Kristofer Ethier;M;ke@fakemail.com;Python, X-ray, Basis Sets, Numerical Algorithms;Protein, Methods Development, DNA, Viruses;Yes; Yes; No; Yes
Aurelio Mcfadin;M;am@fakemail.com;Python, Infrared, Machine Learning, Bioinformatics;Viruses, Protein, Virtual Reality, DNA;Yes; No; Yes; Yes
Nellie Tighe;F;nt@fakemail.com;Mathematics, Raman, Statistical Mechanics, Java;Carbohydrates, Virtual Reality, Viruses, DNA;No; No; No; Yes
Maisha Perera;F;mp@fakemail.com;Java, HPC, Raman, Python;Virtual Reality, Protein, Carbohydrates, Methods Development;Yes; No; Yes; Yes
Cammy Nalsam;F;cn@fakemail.com;Infrared, Mathematics, X-ray, HPC;Carbohydrates, DNA, Viruses, Protein;Yes; No; No; No
Bruno Moris;M;bm@fakemail.com;Mathematics, Java, X-ray, Force Fields;Virtual Reality, Methods Development, Security, Protein;Yes; No; Yes; No
Alease Zinn;F;az@fakemail.com;X-ray, Python, Infrared, Statistics;Carbohydrates, DNA, Virtual Reality, Viruses;No; No; No; No
Andy Schranz;M;as@fakemail.com;X-ray, Java, HPC, Statistical Mechanics;Carbohydrates, Methods Development, Protein, Security;Yes; No; Yes; Yes
Jutta Singleton;F;js@fakemail.com;Numerical Algorithms, Basis Sets, Force Fields, X-ray;Methods Development, Viruses, Protein, Security;No; No; No; No
Pearlene Mara;F;pm@fakemail.com;Statistical Mechanics, Java, Infrared, X-ray;DNA, Virtual Reality, Carbohydrates, Security;No; Yes; No; No
Jan Pfeffer;M;jp@fakemail.com;Python, Machine Learning, Java, Numerical Algorithms;DNA, Protein, Virtual Reality, Viruses;No; No; Yes; Yes
Shawanda Finks;F;sf@fakemail.com;Machine Learning, Raman, X-ray, NMR;Carbohydrates, DNA, Virtual Reality, Viruses;Yes; No; No; Yes
